player;apps;mins;goals;assist;yellow_card;red_card;spg;aerialswon;motm;ps%;age
Kevin De Bruyne;25;2205;15;8;2;0;2,6;0,4;4;82,5;31
Mohamed Salah;30;2763;23;13;1;0;4;0,2;7;79,9;30
Trent Alexander0Arnold;32;2854;2;12;2;0;1,6;0,5;5;78,1;24
Son Heung0Min;35;3021;23;7;2;0;2,5;0,5;6;86,6;30
Harry Kane;36;3232;17;9;5;0;3,6;2;7;70,3;29
Rodri;33;2887;7;2;5;0;1,4;2,6;4;91,8;26
Jo?o Cancelo;36;3228;1;7;7;0;2,3;1,6;5;85,3;28
Joël Matip;31;2790;3;3;2;0;1,1;3,5;5;88,5;31
Sadio Mané;32;2825;16;2;5;0;2,9;0,9;3;77,3;30
Phil Foden;24;2133;9;5;1;0;2;0,2;1;87,4;22
Ivan Toney;32;2908;12;5;8;0;2,7;4,5;5;58,9;26
Bernardo Silva;33;2861;8;4;6;0;1,3;0,2;3;89,6;28
Reece James;22;1868;5;9;4;1;1,4;0,7;4;89,6;22
Ilkay Gündogan;20;1856;8;4;1;0;2;0,4;1;91,2;31
Andrew Robertson;29;2541;3;10;5;1;0,6;0,9;2;85,2;28
Raheem Sterling;23;2127;13;5;1;0;1,9;0,1;4;85,4;27
Gabriel Jesus;21;1880;8;8;1;0;2,3;0,8;6;84,8;25
Mason Mount;27;2365;11;10;4;0;2,4;0,2;7;85,4;23
Virgil van Dijk;34;3060;3;1;3;0;1;3,4;0;89,5;31
John McGinn;35;3092;3;4;8;0;1,2;0,7;4;79,5;28
Jack Grealish;22;1917;3;3;3;0;1,7;0,5;0;88,4;27
Pierre0Emile H?jbjerg;36;3199;2;2;3;0;0,9;0,6;1;89,7;27
Jarrod Bowen;34;2993;12;10;6;0;2,2;1,1;4;76,2;25
Cristiano Ronaldo;27;2459;18;3;8;0;3,7;1,4;5;81,9;37
Declan Rice;35;3178;1;4;8;0;0,7;1,2;1;91,6;23
Thiago;17;1538;1;4;2;0;1;1,3;0;89,1;31
Marcos Alonso;25;2173;4;4;8;0;1,5;1,4;1;81,1;31
Allan Saint0Maximin;31;2812;5;5;6;0;1,8;0,5;6;76,3;25
Conor Gallagher;33;2851;8;3;10;0;1,5;0,7;4;81,2;22
Diogo Jota;27;2373;15;4;3;0;2,6;1,1;4;74,9;25
Thiago Silva;28;2651;3;0;2;0;0,6;1,8;1;92,8;38
Bukayo Saka;36;2996;11;7;6;0;2,6;0,6;3;79,5;21
James Maddison;28;2468;12;8;3;0;2,1;0,1;6;80,7;25
